Palabra,Antiguo_Test,Nuevo_Test,Coran,Tora,Upanishads
principal,90.0,17.0,0.0,33.0,0.0
oidos,90.0,25.0,16.0,104.0,3.0
haber,90.0,41.0,128.0,97.0,3.0
lino,90.0,8.0,0.0,101.0,0.0
paso,90.0,13.0,19.0,67.0,0.0
escrito,89.0,102.0,9.0,161.0,0.0
oid,89.0,14.0,0.0,5.0,0.0
hechos,88.0,39.0,3.0,103.0,0.0
decir,88.0,77.0,16.0,181.0,15.0
daniel,88.0,2.0,0.0,0.0,0.0
riquezas,88.0,29.0,1.0,77.0,7.0
leon,88.0,6.0,1.0,99.0,0.0
hacen,88.0,32.0,96.0,169.0,3.0
hirio,88.0,4.0,0.0,19.0,0.0
viento,88.0,26.0,19.0,106.0,16.0
misma,88.0,55.0,19.0,174.0,12.0
limpio,87.0,20.0,0.0,56.0,1.0
ay,87.0,46.0,47.0,109.0,0.0
nombres,87.0,9.0,13.0,78.0,4.0
egipcios,87.0,3.0,0.0,0.0,0.0
diras,87.0,6.0,0.0,30.0,0.0
hierro,87.0,6.0,7.0,92.0,3.0
alegria,86.0,9.0,7.0,11.0,6.0
tendra,86.0,9.0,40.0,96.0,0.0
columnas,86.0,2.0,2.0,43.0,0.0
pobre,86.0,9.0,16.0,149.0,3.0
quedo,86.0,18.0,4.0,91.0,2.0
grosura,86.0,0.0,0.0,4.0,0.0
dar,86.0,56.0,20.0,147.0,4.0
trabajo,86.0,11.0,0.0,207.0,6.0
oir,86.0,52.0,11.0,93.0,5.0
comenzo,85.0,47.0,1.0,140.0,3.0
nacion,85.0,28.0,0.0,153.0,0.0
orden,85.0,20.0,67.0,129.0,0.0
valientes,85.0,0.0,0.0,35.0,1.0
enojo,84.0,8.0,0.0,45.0,1.0
caldeos,84.0,1.0,0.0,2.0,0.0
echo,84.0,26.0,1.0,83.0,0.0
extranjero,83.0,6.0,0.0,100.0,0.0
cautivos,82.0,3.0,5.0,67.0,0.0
demas,82.0,39.0,7.0,34.0,4.0
edifico,82.0,7.0,0.0,70.0,0.0
aman,82.0,16.0,5.0,54.0,0.0
derecha,81.0,24.0,22.0,159.0,1.0
territorio,81.0,2.0,5.0,144.0,0.0
tomado,81.0,15.0,26.0,84.0,0.0
levantate,81.0,33.0,1.0,91.0,0.0
respondieron,80.0,23.0,0.0,97.0,2.0
acamparon,80.0,0.0,0.0,72.0,0.0
nube,80.0,19.0,4.0,88.0,1.0
marido,80.0,41.0,4.0,45.0,1.0
mitad,79.0,6.0,6.0,69.0,0.0
ello,79.0,10.0,111.0,143.0,4.0
alabanza,79.0,16.0,18.0,1.0,1.0
ruben,78.0,1.0,0.0,1.0,0.0
quedado,78.0,6.0,5.0,28.0,0.0
tarde,78.0,3.0,28.0,31.0,1.0
elias,78.0,30.0,3.0,0.0,0.0
gad,78.0,1.0,0.0,73.0,0.0
vision,78.0,19.0,0.0,77.0,27.0
vestido,78.0,28.0,0.0,54.0,3.0
señal,78.0,48.0,2.0,100.0,4.0
volvera,77.0,3.0,11.0,22.0,0.0
haz,77.0,14.0,29.0,98.0,0.0
mientras,77.0,51.0,96.0,516.0,7.0
vacas,77.0,0.0,3.0,20.0,2.0
fortaleza,77.0,8.0,0.0,89.0,2.0
ven,77.0,38.0,31.0,139.0,25.0
sierva,77.0,2.0,0.0,57.0,0.0
arbol,77.0,23.0,19.0,2.0,9.0
afliccion,77.0,7.0,2.0,165.0,0.0
abominaciones,76.0,2.0,0.0,47.0,0.0
sereis,76.0,26.0,48.0,1.0,0.0
angustia,76.0,8.0,3.0,44.0,0.0
hebron,76.0,0.0,0.0,0.0,0.0
cien,76.0,9.0,7.0,100.0,11.0
haran,76.0,13.0,7.0,130.0,0.0
hiciste,76.0,3.0,2.0,57.0,0.0
tomara,76.0,2.0,0.0,65.0,0.0
flor,76.0,5.0,1.0,24.0,1.0
holocaustos,76.0,3.0,0.0,0.0,0.0
vanidad,75.0,2.0,2.0,49.0,1.0
caballo,75.0,8.0,0.0,44.0,0.0
recto,75.0,4.0,12.0,0.0,0.0
profecia,75.0,17.0,0.0,28.0,0.0
gracia,75.0,140.0,48.0,24.0,26.0
tablas,75.0,4.0,3.0,71.0,0.0
pasar,75.0,24.0,8.0,58.0,0.0
jovenes,74.0,11.0,5.0,94.0,0.0
mayor,74.0,57.0,24.0,99.0,1.0
reinar,74.0,0.0,0.0,27.0,0.0
pondra,74.0,7.0,3.0,75.0,0.0
selah,74.0,0.0,0.0,104.0,0.0
vara,74.0,6.0,10.0,59.0,0.0
cuyo,74.0,12.0,21.0,67.0,9.0
nadie,74.0,126.0,137.0,391.0,9.0
corderos,74.0,2.0,0.0,70.0,0.0
saldra,74.0,6.0,4.0,43.0,0.0
viendo,74.0,50.0,1.0,48.0,1.0
pais,74.0,1.0,36.0,49.0,12.0
justos,73.0,25.0,38.0,62.0,1.0
mentira,73.0,11.0,36.0,19.0,0.0
castigo,73.0,14.0,347.0,60.0,0.0
eleazar,73.0,2.0,0.0,28.0,0.0
lleno,73.0,28.0,8.0,151.0,3.0
memoria,73.0,16.0,0.0,23.0,0.0
judios,73.0,173.0,21.0,1.0,0.0
niño,73.0,41.0,5.0,129.0,1.0
fuertes,72.0,8.0,4.0,77.0,0.0
cierto,72.0,133.0,2.0,126.0,1.0
subir,72.0,5.0,3.0,62.0,0.0
sabios,72.0,14.0,0.0,73.0,27.0
alas,71.0,5.0,4.0,77.0,2.0
pondras,71.0,3.0,1.0,33.0,0.0
aves,71.0,17.0,8.0,68.0,1.0
eliseo,71.0,1.0,2.0,0.0,0.0
enviado,71.0,37.0,270.0,92.0,0.0
entro,71.0,52.0,2.0,129.0,0.0
iba,71.0,33.0,23.0,91.0,0.0
podra,71.0,14.0,27.0,26.0,1.0
betel,71.0,0.0,0.0,0.0,0.0
libano,71.0,0.0,0.0,1.0,0.0
animales,71.0,4.0,3.0,140.0,0.0
bajo,70.0,46.0,17.0,215.0,15.0
vendran,70.0,19.0,2.0,77.0,0.0
cuya,70.0,12.0,21.0,57.0,14.0
carneros,70.0,0.0,0.0,61.0,0.0
joas,70.0,0.0,0.0,0.0,0.0
brazo,70.0,3.0,1.0,76.0,0.0
faz,70.0,6.0,1.0,29.0,1.0
reina,70.0,6.0,2.0,57.0,1.0
buena,70.0,70.0,81.0,77.0,0.0
necio,69.0,6.0,2.0,87.0,2.0
llena,69.0,9.0,4.0,77.0,10.0
hareis,69.0,3.0,1.0,1.0,0.0
frente,69.0,14.0,17.0,163.0,1.0
siquem,68.0,2.0,0.0,0.0,0.0
extremo,68.0,6.0,1.0,53.0,1.0
